Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
00:21.3,Team1,1,Successful,Low,Pass,-35.18,11.61,-42.01,0.11
00:24.7,Team1,1,Unsuccessful,Low,Pass,-41.59,0.19,-25.34,8.86
00:32.3,Team1,1,Successful,Low,Pass,-25.34,8.86,-27.01,-14.06
00:44.6,Team1,1,Successful,Low,Pass,-26.93,-13.98,-40.76,-0.31
00:53.1,Team1,1,Successful,Low,Pass,-40.76,-0.31,-18.26,0.86
00:55.5,Team1,1,Unsuccessful,Low,Pass,-18.68,-3.48,-5.93,-19.56
01:01.5,Team1,1,Unsuccessful,Low,Pass,-10.93,1.11,11.07,1.36
01:45.5,Team1,1,Successful,Low,Pass,-7.93,8.44,4.32,19.44
01:49.5,Team1,1,Successful,Low,Pass,4.32,19.44,0.07,9.27
01:49.5,Team1,1,Successful,High,Pass,-0.09,9.27,-5.84,27.44
10:46.5,Team1,1,Successful,Low,Pass,-6.18,27.61,21.07,31.19
10:52.8,Team1,1,Successful,Low,Pass,16.49,9.94,26.57,-12.23
11:13.5,Team1,1,Successful,Low,Pass,7.82,-21.73,33.91,1.11
11:16.3,Team1,1,Successful,Low,Pass,33.74,1.61,33.49,21.94
11:18.5,Opponent,1,Successful,Low,Shot,-29.01,8.38,-50.34,0.13
16:25.3,Team1,2,Successful,High,Pass,-38.84,-27.39,-16.59,-25.89
16:32.9,Team1,2,Successful,Low,Pass,-15.76,-20.39,8.57,-10.64
16:33.8,Team1,2,Unsuccessful,Low,Pass,-28.18,10.11,-34.93,29.61
21:30.3,Team1,2,Successful,Low,Pass,-34.84,29.94,-19.43,14.44
21:34.1,Team1,2,Successful,Low,Pass,-19.01,13.77,-40.51,-0.14
21:37.2,Team1,2,Successful,Low,Pass,-5.09,-28.94,31.41,-28.02
25:21.1,Team1,2,Successful,Low,Pass,37.74,-33.36,47.74,-15.61
25:27.4,Team1,2,Unsuccessful,Low,Pass,46.91,-15.17,38.32,-3.34
25:37.0,Team1,2,Unsuccessful,Low,Shot,42.99,16.08,49.82,1.41
25:39.1,Team1,2,Successful,Low,Pass,-8.84,1.24,-19.43,16.74
25:48.4,Team1,2,Successful,Low,Pass,-40.76,-0.18,-40.51,-21.6
25:50.4,Team1,2,Successful,Low,Pass,-39.59,-21.43,-42.43,-1.85
31:26.2,Team1,2,Successful,Low,Pass,-40.09,0.5,20.99,25.33
32:09.7,Team1,2,Successful,Low,Pass,-29.09,-15.69,-42.59,-6.69
