Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
00:19.1,Team2,1,Successful,Low,Pass,-31.93,2.78,-20.09,17.78
00:20.7,Team2,1,Successful,Low,Pass,-23.93,-5.8,-1.43,-10.55
00:49.9,Team2,1,Successful,Low,Pass,-11.76,3.78,16.91,6.2
00:53.8,Team2,1,Successful,Low,Pass,-5.51,19.2,22.16,11.12
01:11.4,Team2,1,Unsuccessful,Low,Pass,24.16,-10.05,38.24,5.87
01:17.3,Team2,1,Successful,Low,Pass,-30.09,-5.4,-36.09,-11.24
01:22.1,Team2,1,Unsuccessful,Low,Pass,-30.59,-5.74,-41.09,0.43
01:26.9,Team2,1,Successful,Low,Pass,-41.26,1.18,-27.51,11.93
01:29.5,Team2,1,Successful,Low,Pass,-27.09,11.1,-43.43,9.51
01:33.1,Team2,1,Successful,Low,Pass,-43.01,8.85,-23.59,1.76
01:35.8,Opponent,1,Successful,Low,Shot,-34.18,8.94,-51.34,0.94
01:38.6,Team2,1,Successful,Low,Pass,-9.34,0.36,-23.01,8.02
01:44.1,Team2,1,Successful,Low,Pass,-23.59,8.36,-0.18,9.19
02:19.0,Team2,1,Successful,Low,Pass,0.24,9.19,21.82,22.19
02:20.6,Team2,1,Successful,Low,Pass,22.57,22.11,29.49,9.69
02:22.1,Team2,2,Successful,Low,Pass,35.16,21.52,41.07,13.27
02:27.7,Team2,2,Unsuccessful,Low,Pass,-8.59,21.21,5.66,32.21
19:20.9,Team2,2,Successful,Low,Pass,17.49,-12.9,36.49,-17.73
19:23.6,Team2,2,Successful,Low,Shot,40.16,-8.66,50.49,-1.49
19:26.4,Team2,2,Unsuccessful,High,Shot,41.99,-9.74,50.41,2.84
19:31.1,Team2,2,Successful,Low,Pass,-18.68,-18.75,7.49,-24.25
19:33.5,Team2,2,Successful,Low,Pass,-19.51,-12.58,8.41,-4.25
19:40.7,Team2,2,Successful,Low,Pass,8.49,-4,-6.59,1.42
19:43.9,Team2,2,Successful,Low,Pass,-7.01,1.58,-9.59,17.42
19:46.1,Team2,2,Successful,High,Pass,-9.26,17.77,-20.76,2.68
19:48.2,Team2,2,Successful,Low,Pass,-20.76,2.35,-20.01,-23.48
19:54.5,Team2,2,Successful,Low,Pass,-20.01,-23.33,-37.59,-26.67
19:55.0,Team2,2,Unsuccessful,Low,Pass,-38.18,-26.76,-41.51,-1.59
19:58.1,Team2,2,Unsuccessful,Low,Pass,-41.26,0.01,19.07,-20.41
