Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
04:40.8,Team1,1,Unsuccessful,Low,Pass,-7.1,21.57,10.42,20.85
04:49.2,Team1,1,Successful,Low,Pass,-12.98,9.61,9.04,14.32
04:56.0,Team1,1,Successful,Low,Pass,3.1,11.31,-14.22,1.96
06:00.6,Team1,1,Successful,Low,Pass,-12.92,3.66,-2.2,-11.17
06:07.8,Team1,1,Unsuccessful,Low,Pass,5.25,-15.23,19.57,-8.56
06:16.0,Team1,1,Successful,Low,Pass,0.61,1.7,22.31,7.65
06:18.5,Team1,1,Successful,Low,Pass,14.8,0.4,13.16,14.84
06:21.7,Team1,1,Successful,Low,Pass,13.16,14.45,19.18,20.85
10:37.6,Team1,1,Successful,Low,Pass,19.83,20.98,30.68,9.55
10:43.7,Team1,1,Unsuccessful,Low,Shot,31.27,8.89,33.75,0.92
10:46.5,Team1,1,Successful,Low,Pass,-24.75,10.92,-18.15,24.38
10:52.8,Team1,1,Successful,Low,Pass,-18.15,24.38,-4.75,26.87
11:13.5,Team1,1,Successful,Low,Pass,-4.75,26.87,-9.06,22.36
11:16.3,Team1,1,Successful,Low,Pass,-8.67,21.9,-15.79,15.62
11:18.5,Team1,1,Successful,Low,Pass,-15.79,15.62,-7.56,12.55
20:27.3,Team1,2,Successful,Low,Pass,-7.56,13.01,-0.11,-0.85
20:31.4,Team1,2,Successful,Low,Pass,-0.11,-0.85,11.72,0.13
21:10.6,Team1,2,Unsuccessful,Low,Shot,26.43,-5.43,32.77,-1.32
21:30.3,Team1,2,Unsuccessful,Low,Pass,-6.51,0.96,-12.85,8.67
21:34.1,Team1,2,Successful,High,Pass,-12.85,8.67,-24.62,-0.02
21:37.2,Team1,2,Successful,Low,Pass,-24.62,-0.02,-14.68,-4.79
21:40.3,Team1,2,Successful,Low,Pass,-14.68,-4.73,-22.52,-6.04
21:41.3,Team1,2,Successful,Low,Pass,-22.52,-6.49,-22.92,-22.31
21:52.2,Team1,2,Successful,Low,Pass,-22.92,-23.55,3.88,-19.57
31:06.1,Opponent,2,Successful,High,Shot,-27.3,10.17,-33.5,0.37
31:19.8,Team1,2,Successful,Low,Pass,-17.82,7.83,-14.62,23.46
31:23.4,Team1,2,Unsuccessful,Low,Pass,-14.62,23.46,-1.28,27.18
31:26.2,Team1,2,Successful,Low,Pass,-21.74,-7.47,-5.27,-14.93
32:09.7,Team1,2,Successful,Low,Pass,-4.03,-11.27,13.62,-24.08
