Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
01:33.8,Team1,1,Successful,Low,Pass,-20.76,23.99,-4.81,23.99
01:38.3,Team1,1,Unsuccessful,Low,Pass,-0.63,26.93,18.59,26.28
01:53.5,Team1,1,Successful,Low,Pass,18.85,23.14,27.28,11.31
01:57.8,Team1,1,Successful,Low,Pass,0.29,1.44,8.33,22.88
02:01.7,Team1,1,Unsuccessful,Low,Pass,26.36,10.19,17.28,0.85
02:15.9,Team1,1,Successful,Low,Pass,-15.27,10.58,-24.09,0.52
02:22.9,Team1,1,Successful,Low,Pass,-24.22,0.26,-3.44,-0.33
03:09.5,Team1,1,Unsuccessful,Low,Pass,-3.37,-0.66,-4.35,15.22
03:15.5,Team1,1,Successful,Low,Pass,-3.83,14.37,15.65,7.38
03:27.0,Team1,1,Successful,Low,Pass,-12.39,-18.7,10.55,-12.23
03:29.0,Team1,1,Successful,Low,Pass,-13.05,-0.27,-22,0.13
04:00.3,Team1,1,Successful,Low,Pass,-22.92,0.39,-10.76,-11.51
04:01.4,Team1,1,Successful,Low,Pass,-10.96,-11.12,-9.39,-22.29
05:01.0,Team1,1,Successful,Low,Shot,26.3,-2.02,33.36,-0.85
05:01.8,Team1,1,Successful,Low,Pass,2.12,-24.9,18.65,-24.44
11:10.7,Team1,2,Successful,Low,Pass,21.2,-23.26,31.07,-6.14
11:41.5,Team1,2,Unsuccessful,Low,Pass,-16.64,-17.84,-31.61,-23.79
11:43.9,Team1,2,Successful,Low,Pass,-31.41,-23.46,-20.43,-5.68
11:58.2,Opponent,2,Successful,Low,Shot,-17.16,11.7,-33.83,0.26
12:02.6,Opponent,2,Successful,High,Shot,-24.94,2.75,-33.57,0.2
12:32.0,Team1,2,Successful,Low,Pass,-9.13,0.38,-12.65,13.25
12:36.6,Team1,2,Successful,Low,Pass,-12.79,13.84,0.16,9.72
12:38.1,Team1,2,Unsuccessful,Low,Pass,0.09,9.66,11.07,-0.67
12:40.8,Team1,2,Successful,Low,Pass,11.46,-0.82,18,16.24
12:45.7,Team1,2,Successful,High,Pass,18.19,16.24,27.35,23.63
12:48.0,Team1,2,Successful,Low,Pass,27.67,23.04,31.72,10.69
15:36.4,Team1,2,Successful,Low,Shot,26.04,5.34,34.08,1.35
15:40.3,Team1,2,Successful,Low,Pass,-10.82,20.43,-24.55,20.17
16:05.2,Team1,2,Successful,Low,Pass,-24.55,20.17,-23.18,3.51
